iter	Passed	Remaining
207	329	1255
208	331	1253
209	333	1252
210	334	1251
211	336	1249
212	337	1247
213	339	1246
214	341	1245
215	342	1244
216	344	1243
217	346	1241
218	347	1240
219	349	1238
220	351	1237
221	352	1236
222	354	1234
223	356	1233
224	357	1232
225	359	1232
226	361	1231
227	363	1229
228	365	1229
229	366	1227
230	368	1226
231	370	1225
232	371	1224
233	373	1222
234	375	1221
235	376	1220
236	378	1218
237	380	1217
238	381	1216
239	383	1214
240	385	1212
241	386	1211
242	388	1209
243	390	1208
244	391	1206
245	393	1205
246	395	1204
247	396	1202
248	398	1201
249	399	1199
250	401	1198
251	403	1197
252	405	1195
253	406	1195
254	409	1196
255	411	1196
256	413	1194
257	415	1193
258	416	1191
259	418	1190
260	420	1189
261	421	1188
262	423	1186
263	425	1186
264	427	1185
265	429	1185
266	431	1184
267	433	1183
268	434	1181
269	436	1180
270	438	1179
271	440	1178
272	441	1176
273	443	1175
274	445	1174
275	447	1174
276	449	1173
277	451	1172
278	453	1172
279	455	1170
280	457	1169
281	459	1168
282	460	1167
283	462	1166
284	464	1165
285	466	1164
286	468	1164
287	470	1163
288	472	1162
289	474	1161
290	476	1160
291	477	1158
292	480	1158
293	482	1157
294	483	1156
295	485	1155
296	487	1153
297	489	1152
298	491	1151
299	493	1150
300	494	1148
301	496	1147
302	498	1145
303	499	1144
304	501	1142
305	503	1141
306	505	1139
307	506	1138
308	508	1137
309	510	1136
310	512	1135
311	514	1134
312	516	1133
313	518	1132
314	520	1132
315	522	1131
316	524	1130
317	526	1129
318	528	1128
319	530	1128
320	532	1127
321	535	1126
322	537	1126
323	539	1124
324	541	1124
325	543	1123
326	545	1121
327	546	1120
328	548	1118
329	550	1118
330	552	1116
331	554	1115
332	556	1114
333	558	1113
334	560	1112
335	561	1110
336	564	1110
337	566	1108
338	568	1107
339	569	1106
340	572	1106
341	574	1105
342	576	1104
343	578	1103
344	581	1103
345	583	1102
346	585	1101
347	587	1100
348	589	1099
349	591	1098
350	593	1097
351	595	1096
352	597	1095
353	599	1094
354	602	1093
355	604	1093
356	606	1092
357	608	1091
358	611	1091
359	613	1090
360	615	1088
361	617	1087
362	619	1086
363	621	1085
364	623	1084
365	625	1084
366	627	1083
367	629	1081
368	631	1080
369	633	1079
370	635	1078
371	637	1076
372	640	1076
373	642	1074
374	644	1073
375	646	1072
376	647	1070
377	649	1069
378	651	1067
379	653	1066
380	655	1065
381	657	1064
382	660	1063
383	662	1062
384	664	1062
385	667	1061
386	670	1061
387	672	1060
388	674	1059
389	676	1058
390	678	1056
391	680	1055
392	682	1054
393	684	1053
394	687	1052
395	689	1051
396	691	1050
397	694	1049
398	695	1047
399	697	1046
400	699	1045
401	702	1044
402	704	1043
403	707	1043
404	709	1042
405	711	1040
406	713	1039
407	715	1037
408	717	1036
409	719	1035
410	721	1034
411	723	1032
412	725	1031
413	727	1030
414	729	1028
415	732	1027
416	734	1026
417	736	1026
418	739	1025
419	742	1025
420	745	1024
421	747	1023
422	749	1022
423	752	1021
424	754	1020
425	756	1019
426	758	1018
427	760	1016
428	762	1015
429	765	1014
430	767	1013
431	769	1012
432	772	1011
433	774	1010
434	777	1009
435	778	1007
436	781	1006
437	783	1005
438	785	1003
439	787	1002
440	789	1000
441	792	1000
442	794	999
443	798	999
444	801	999
445	803	998
446	806	997
447	809	997
448	811	996
449	814	995
450	817	995
451	820	994
452	823	994
453	826	993
454	829	993
455	831	991
456	834	991
457	837	990
458	839	989
459	841	987
460	843	986
461	846	985
462	849	984
463	851	984
464	854	983
465	857	982
466	860	982
467	863	981
468	865	979
469	867	978
470	869	976
471	872	976
472	874	974
473	877	973
474	879	971
475	882	971
476	885	970
477	886	968
478	889	967
479	891	966
480	894	965
481	898	965
482	901	964
483	903	963
484	906	962
485	909	961
486	912	961
487	914	959
488	917	958
489	919	957
490	922	956
491	925	955
492	928	955
493	932	955
494	934	953
495	937	952
496	940	951
497	943	950
498	946	949
499	948	948
500	951	947
501	953	946
502	956	945
503	960	945
504	963	944
505	964	941
506	967	940
507	971	940
508	974	940
509	978	940
510	981	939
511	985	939
512	988	938
513	991	937
514	994	936
515	997	935
516	1000	934
517	1003	933
518	1006	932
519	1009	931
520	1013	931
521	1015	930
522	1019	929
523	1022	928
524	1025	927
525	1028	926
526	1031	925
527	1033	923
528	1036	922
529	1039	921
530	1041	920
531	1044	918
532	1046	917
533	1048	915
534	1051	913
535	1053	911
536	1055	910
537	1058	908
538	1060	907
539	1063	905
540	1065	903
541	1067	902
542	1069	900
543	1072	898
544	1074	896
545	1076	894
546	1077	892
547	1079	890
548	1081	888
549	1083	886
550	1084	883
551	1086	881
552	1088	879
553	1090	877
554	1092	875
555	1094	873
556	1096	871
557	1098	869
558	1100	867
559	1102	865
560	1104	863
561	1106	862
562	1108	860
563	1110	858
564	1112	856
565	1114	854
566	1116	853
567	1118	851
568	1121	849
569	1123	847
570	1125	845
571	1127	843
572	1129	842
573	1132	840
574	1134	838
575	1137	837
576	1139	835
577	1141	833
578	1144	831
579	1146	830
580	1149	828
581	1151	827
582	1154	825
583	1156	823
584	1159	822
585	1162	820
586	1164	819
587	1167	818
588	1170	816
589	1172	814
590	1174	812
591	1177	811
592	1180	809
593	1182	808
594	1184	806
595	1187	804
596	1188	802
597	1191	800
598	1194	799
599	1197	798
600	1199	796
601	1201	794
602	1204	792
603	1206	790
604	1208	788
605	1211	787
606	1213	785
607	1216	784
608	1218	782
609	1220	780
610	1223	778
611	1225	776
612	1228	775
613	1230	773
614	1233	772
615	1236	770
616	1239	769
617	1242	768
618	1246	766
619	1249	765
620	1251	763
621	1254	762
622	1256	760
623	1258	758
624	1260	756
625	1263	754
626	1265	752
627	1267	750
628	1270	749
629	1272	747
630	1275	745
631	1277	743
632	1279	741
633	1281	740
634	1284	738
635	1286	736
636	1288	734
637	1290	732
638	1292	730
639	1295	728
640	1297	726
641	1299	724
642	1301	722
643	1303	720
644	1305	718
645	1306	716
646	1308	713
647	1310	711
648	1312	709
649	1313	707
650	1315	705
651	1317	703
652	1319	701
653	1321	699
654	1323	697
655	1325	695
656	1327	693
657	1329	691
658	1331	689
659	1333	687
660	1335	685
661	1338	683
662	1339	680
663	1342	679
664	1344	677
665	1346	675
666	1348	673
667	1351	671
668	1353	669
669	1355	667
670	1358	666
671	1360	664
672	1363	662
673	1365	660
674	1367	658
675	1370	656
676	1372	654
677	1374	652
678	1376	650
679	1378	648
680	1380	646
681	1382	644
682	1384	642
683	1387	641
684	1389	639
685	1392	637
686	1395	635
687	1398	634
688	1400	632
689	1403	630
690	1405	628
691	1407	626
692	1410	625
693	1413	623
694	1417	621
695	1420	620
696	1422	618
697	1425	616
698	1427	614
699	1430	612
700	1432	610
701	1434	608
702	1436	606
703	1439	605
704	1442	603
705	1444	601
706	1447	599
707	1449	597
708	1452	596
709	1454	594
710	1457	592
711	1460	590
712	1462	588
713	1465	586
714	1468	585
715	1470	583
716	1473	581
717	1475	579
718	1478	577
719	1480	575
720	1483	574
721	1486	572
722	1489	570
723	1492	568
724	1494	567
725	1496	564
726	1500	563
727	1503	561
728	1506	559
729	1509	558
730	1512	556
731	1515	554
732	1517	552
733	1520	551
734	1524	549
735	1527	547
736	1529	545
737	1531	543
738	1534	542
739	1537	540
740	1540	538
741	1542	536
742	1545	534
743	1547	532
744	1550	530
745	1553	528
746	1556	527
747	1559	525
748	1562	523
749	1565	521
750	1569	520
751	1572	518
752	1575	516
753	1578	515
754	1582	513
755	1585	511
756	1588	509
757	1590	507
758	1593	506
759	1596	504
760	1599	502
761	1602	500
762	1606	498
763	1608	496
764	1611	495
765	1614	493
766	1617	491
767	1620	489
768	1623	487
769	1625	485
770	1628	483
771	1630	481
772	1632	479
773	1635	477
774	1638	475
775	1641	473
776	1645	472
777	1647	470
778	1650	468
779	1653	466
780	1655	464
781	1656	461
782	1659	459
783	1662	457
784	1664	455
785	1667	453
786	1670	451
787	1673	450
788	1675	447
789	1677	446
790	1679	443
791	1682	441
792	1684	439
793	1687	437
794	1690	435
795	1693	434
796	1696	432
797	1699	430
798	1703	428
799	1706	426
800	1708	424
801	1711	422
802	1715	420
803	1718	418
804	1721	416
805	1724	415
806	1728	413
807	1730	411
808	1733	409
809	1736	407
810	1739	405
811	1743	403
812	1746	401
813	1748	399
814	1751	397
815	1753	395
816	1755	393
817	1759	391
818	1761	389
819	1763	387
820	1766	385
821	1768	382
822	1771	380
823	1773	378
824	1775	376
825	1778	374
826	1780	372
827	1782	370
828	1784	368
829	1788	366
830	1790	364
831	1792	361
832	1795	359
833	1798	357
834	1800	355
835	1802	353
836	1805	351
837	1807	349
838	1809	347
839	1812	345
840	1814	343
841	1817	341
842	1819	338
843	1821	336
844	1824	334
845	1827	332
846	1830	330
847	1833	328
848	1836	326
849	1840	324
850	1843	322
851	1847	320
852	1851	319
853	1854	317
854	1858	315
855	1862	313
856	1863	311
857	1866	308
858	1868	306
859	1871	304
860	1874	302
861	1877	300
862	1880	298
863	1882	296
864	1885	294
865	1888	292
866	1890	290
867	1893	288
868	1897	285
869	1899	283
870	1902	281
871	1905	279
872	1907	277
873	1910	275
874	1912	273
875	1914	271
876	1916	268
877	1919	266
878	1921	264
879	1923	262
880	1925	260
881	1928	257
882	1930	255
883	1932	253
884	1934	251
885	1936	249
886	1938	246
887	1940	244
888	1942	242
889	1943	240
890	1945	238
891	1947	235
892	1949	233
893	1951	231
894	1953	229
895	1955	226
896	1957	224
897	1959	222
898	1961	220
899	1963	218
900	1964	215
901	1966	213
902	1968	211
903	1970	209
904	1971	206
905	1973	204
906	1975	202
907	1977	200
908	1979	198
909	1981	195
910	1983	193
911	1985	191
912	1987	189
913	1989	187
914	1992	185
915	1994	182
916	1996	180
917	1998	178
918	2000	176
919	2003	174
920	2006	172
921	2008	169
922	2011	167
923	2014	165
924	2016	163
925	2018	161
926	2021	159
927	2024	157
928	2027	154
929	2030	152
930	2033	150
931	2036	148
932	2039	146
933	2042	144
934	2044	142
935	2047	139
936	2049	137
937	2053	135
938	2056	133
939	2059	131
940	2061	129
941	2064	127
942	2066	124
943	2068	122
944	2071	120
945	2073	118
946	2075	116
947	2078	113
948	2080	111
949	2082	109
950	2084	107
951	2086	105
952	2088	102
953	2089	100
954	2091	98
955	2093	96
956	2095	94
957	2097	91
958	2099	89
959	2101	87
960	2102	85
961	2104	83
962	2106	80
963	2108	78
964	2110	76
965	2111	74
966	2113	72
967	2115	69
968	2117	67
969	2119	65
970	2121	63
971	2122	61
972	2124	58
973	2126	56
974	2129	54
975	2131	52
976	2133	50
977	2135	48
978	2137	45
979	2140	43
980	2142	41
981	2144	39
982	2147	37
983	2149	34
984	2151	32
985	2154	30
986	2156	28
987	2159	26
988	2162	24
989	2164	21
990	2167	19
991	2169	17
992	2171	15
993	2172	13
994	2174	10
995	2176	8
996	2178	6
997	2180	4
998	2182	2
999	2184	0
